age,population,country
15-24,31657,Total
25-34,33656,Total
35-44,19616,Total
45-54,11896,Total
55-64,6554,Total
<15,2386,Total
>65,2648,Total
15-24,14,ABW
25-34,7,ABW
35-44,5,ABW
45-54,5,ABW
55-64,1,ABW
<15,2,ABW
>65,4,ABW
15-24,63,AFG
25-34,32,AFG
35-44,17,AFG
45-54,8,AFG
55-64,9,AFG
<15,41,AFG
>65,38,AFG
15-24,7,AGO
25-34,10,AGO
35-44,12,AGO
45-54,15,AGO
55-64,4,AGO
<15,4,AGO
15-24,4,AIA
25-34,6,AIA
35-44,5,AIA
45-54,3,AIA
55-64,3,AIA
<15,2,AIA
>65,2,AIA
15-24,46,ALB
25-34,35,ALB
35-44,12,ALB
45-54,4,ALB
55-64,1,ALB
<15,17,ALB
>65,9,ALB
15-24,12,AND
25-34,22,AND
35-44,9,AND
45-54,3,AND
55-64,4,AND
>65,1,AND
15-24,4,ANT
25-34,3,ANT
35-44,4,ANT
45-54,1,ANT
55-64,2,ANT
>65,2,ANT
15-24,16,ARE
25-34,45,ARE
35-44,41,ARE
45-54,8,ARE
55-64,3,ARE
<15,1,ARE
>65,1,ARE
15-24,178,ARG
25-34,436,ARG
35-44,253,ARG
45-54,108,ARG
55-64,57,ARG
<15,6,ARG
>65,25,ARG
15-24,25,ARM
25-34,24,ARM
35-44,9,ARM
45-54,7,ARM
55-64,2,ARM
<15,1,ARM
>65,4,ARM
15-24,4,ATG
25-34,6,ATG
35-44,3,ATG
55-64,4,ATG
<15,2,ATG
>65,3,ATG
15-24,3147,AUS
25-34,988,AUS
35-44,728,AUS
45-54,458,AUS
55-64,273,AUS
<15,723,AUS
>65,82,AUS
15-24,571,AUT
25-34,612,AUT
35-44,377,AUT
45-54,255,AUT
55-64,130,AUT
<15,141,AUT
>65,45,AUT
15-24,28,AZE
25-34,29,AZE
35-44,12,AZE
45-54,6,AZE
55-64,2,AZE
<15,4,AZE
>65,4,AZE
15-24,2,BDI
25-34,1,BDI
35-44,2,BDI
55-64,1,BDI
<15,2,BDI
>65,1,BDI
15-24,421,BEL
25-34,458,BEL
35-44,322,BEL
45-54,238,BEL
55-64,117,BEL
<15,14,BEL
>65,56,BEL
15-24,3,BEN
25-34,3,BEN
35-44,5,BEN
55-64,2,BEN
>65,1,BEN
15-24,1,BFA
25-34,3,BFA
35-44,1,BFA
45-54,1,BFA
<15,1,BFA
15-24,22,BGD
25-34,42,BGD
35-44,6,BGD
45-54,4,BGD
55-64,5,BGD
<15,5,BGD
>65,3,BGD
15-24,52,BGR
25-34,71,BGR
35-44,30,BGR
45-54,15,BGR
55-64,2,BGR
<15,4,BGR
>65,2,BGR
15-24,33,BHR
25-34,20,BHR
35-44,6,BHR
45-54,7,BHR
55-64,4,BHR
<15,1,BHR
>65,1,BHR
15-24,12,BHS
25-34,7,BHS
35-44,5,BHS
45-54,2,BHS
55-64,2,BHS
<15,5,BHS
>65,5,BHS
15-24,19,BIH
25-34,19,BIH
35-44,8,BIH
45-54,3,BIH
>65,2,BIH
15-24,69,BLR
25-34,44,BLR
35-44,10,BLR
45-54,8,BLR
55-64,7,BLR
<15,3,BLR
>65,1,BLR
15-24,3,BLZ
25-34,5,BLZ
35-44,2,BLZ
45-54,2,BLZ
25-34,3,BMU
35-44,5,BMU
45-54,2,BMU
55-64,1,BMU
>65,1,BMU
15-24,13,BOL
25-34,17,BOL
35-44,14,BOL
45-54,5,BOL
55-64,3,BOL
<15,1,BOL
>65,1,BOL
15-24,355,BRA
25-34,738,BRA
35-44,407,BRA
45-54,227,BRA
55-64,98,BRA
<15,11,BRA
>65,37,BRA
15-24,8,BRB
25-34,10,BRB
35-44,3,BRB
45-54,8,BRB
55-64,2,BRB
<15,2,BRB
>65,3,BRB
15-24,7,BRN
25-34,3,BRN
35-44,1,BRN
45-54,1,BRN
<15,2,BRN
>65,2,BRN
15-24,3,BTN
25-34,5,BTN
35-44,3,BTN
>65,1,BTN
15-24,5,BWA
25-34,1,BWA
35-44,1,BWA
45-54,2,BWA
55-64,1,BWA
<15,1,BWA
>65,4,BWA
15-24,3,CAF
15-24,1315,CAN
25-34,1315,CAN
35-44,987,CAN
45-54,794,CAN
55-64,565,CAN
<15,325,CAN
>65,257,CAN
15-24,455,CHE
25-34,482,CHE
35-44,377,CHE
45-54,234,CHE
55-64,120,CHE
<15,32,CHE
>65,43,CHE
15-24,168,CHL
25-34,318,CHL
35-44,187,CHL
45-54,78,CHL
55-64,54,CHL
<15,8,CHL
>65,12,CHL
15-24,315,CHN
25-34,258,CHN
35-44,41,CHN
45-54,8,CHN
55-64,7,CHN
<15,9,CHN
>65,5,CHN
15-24,11,CIV
25-34,3,CIV
35-44,4,CIV
45-54,3,CIV
>65,2,CIV
15-24,4,CMR
25-34,12,CMR
35-44,5,CMR
45-54,3,CMR
15-24,6,COD
25-34,5,COD
35-44,2,COD
45-54,1,COD
15-24,5,COG
35-44,2,COG
55-64,1,COG
<15,1,COG
15-24,2,COK
35-44,2,COK
45-54,1,COK
15-24,170,COL
25-34,245,COL
35-44,137,COL
45-54,49,COL
55-64,26,COL
<15,3,COL
>65,9,COL
15-24,1,COM
25-34,1,COM
45-54,2,COM
15-24,1,CPV
25-34,4,CPV
35-44,1,CPV
45-54,2,CPV
>65,1,CPV
15-24,54,CRI
25-34,70,CRI
35-44,50,CRI
45-54,26,CRI
55-64,10,CRI
<15,2,CRI
>65,1,CRI
15-24,8,CUB
25-34,9,CUB
35-44,4,CUB
45-54,3,CUB
>65,1,CUB
15-24,1,CYM
25-34,5,CYM
35-44,2,CYM
15-24,11,CYP
25-34,29,CYP
35-44,18,CYP
45-54,7,CYP
55-64,3,CYP
>65,1,CYP
15-24,198,CZE
25-34,195,CZE
35-44,117,CZE
45-54,52,CZE
55-64,33,CZE
<15,8,CZE
>65,9,CZE
15-24,3186,DEU
25-34,3267,DEU
35-44,1433,DEU
45-54,1085,DEU
55-64,560,DEU
<15,50,DEU
>65,279,DEU
15-24,1,DJI
25-34,2,DJI
25-34,1,DMA
