country,variable,f,m
ABW,Housing,8.91484663607972,7.43061132687188
ABW,Income,10.0663564952353,8.54840340766194
ABW,Jobs,7.90123782713239,9.36513704899159
ABW,Community,9.35875210672316,7.14810813106409
ABW,Education,8.43759535090913,10.6820497575924
ABW,Environment,9.70310313558999,10.0755428059314
ABW,CivicEngagement,8.38853464090452,6.96393984046356
ABW,Health,10.7610381423347,10.855747285384
ABW,LifeSatisfaction,9.3663009141611,10.5739410395212
ABW,Safety,9.83483785130222,9.67260115133925
ABW,WorkLifeBalance,7.26739689962779,8.68391820517876
AFG,Housing,9.13373542686183,10.3325487906701
AFG,Income,9.31097432791673,10.1795246917538
AFG,Jobs,8.31052099928635,9.10424632185258
AFG,Community,8.05693960880518,7.63261655714525
AFG,Education,7.90945794115764,8.72037908389897
AFG,Environment,10.1052631823987,9.4114613788279
AFG,CivicEngagement,6.2637301795598,6.89620764190509
AFG,Health,10.5946972982637,9.73971249124531
AFG,LifeSatisfaction,9.79320665966148,10.5679246907515
AFG,Safety,8.93025977330868,8.07488993243805
AFG,WorkLifeBalance,11.5912146027799,9.34048841951138
AGO,Housing,8.82188274831464,10.5384712890931
AGO,Income,13.9289364788978,9.39846695772469
AGO,Jobs,9.12436824011901,8.71053598938359
AGO,Community,8.29507056411081,9.84945416329556
AGO,Education,9.43522794285178,8.95343835107923
AGO,Environment,8.30168452548484,7.80341356854071
AGO,CivicEngagement,7.37268019648051,8.89669624598066
AGO,Health,9.64716922654229,9.42911269575315
AGO,LifeSatisfaction,9.74887804404058,8.90610461992144
AGO,Safety,7.31156316593623,8.93973512740268
AGO,WorkLifeBalance,8.01253886722153,8.57457099182522
AIA,Housing,7.71254209717006,9.91343976238265
AIA,Income,6.76005340938726,9.84990534175962
AIA,Jobs,5.53946517409314,14.1575505645435
AIA,Community,5.49876749967454,8.30889494467455
AIA,Education,5.83016284851175,9.09552029426063
AIA,Environment,10.613857013741,7.03243664893795
AIA,CivicEngagement,5.24876749967454,8.55880110207925
AIA,Health,18.5801628485117,8.62500690438512
AIA,LifeSatisfaction,20.4633782175714,9.28525592103552
AIA,Safety,5.78946517409314,8.52830685711661
AIA,WorkLifeBalance,7.9633782175714,6.64488165882458
ALB,Housing,9.8201889602785,8.74823702982526
ALB,Income,15.6735986814604,12.4302918613754
ALB,Jobs,8.9925464254203,9.65624352253731
ALB,Community,7.70431070549447,7.73913283931342
ALB,Education,8.15204526482563,9.1841771543229
ALB,Environment,7.60072129244341,7.70020550908442
ALB,CivicEngagement,6.93089816367028,6.76578770813188
ALB,Health,8.89686832271325,9.37009692071191
ALB,LifeSatisfaction,10.1984303819077,9.75453970279864
ALB,Safety,7.61109579803764,8.62899311805508
ALB,WorkLifeBalance,8.41929600374842,10.0222946338438
AND,Housing,9.22577974884889,8.79710715659333
AND,Income,8.00046846001673,9.41014406281828
AND,Jobs,8.32225106550644,9.18077144892635
AND,Community,9.8086265621278,6.38610875125675
AND,Education,9.48872448084555,8.12134310515603
AND,Environment,9.82422797984143,12.7233342579312
AND,CivicEngagement,7.38941272466088,7.42899465595312
AND,Health,9.57443905128662,8.4493444846586
AND,LifeSatisfaction,10.8050539025911,11.8008436978011
AND,Safety,8.89294717830539,8.56734072933435
AND,WorkLifeBalance,8.66806884596916,9.13466764957097
ANT,Housing,5.32465687560101,9.23767548071404
ANT,Income,11.9346348860511,8.56869411528224
ANT,Jobs,7.5508466312951,6.84341939000752
ANT,Community,7.95735069633575,9.52340181578248
ANT,Education,9.44928618020671,8.24366400972888
ANT,Environment,12.6974940655114,9.35745847549703
ANT,CivicEngagement,7.01321222269295,7.56424023582836
ANT,Health,10.8100913205162,11.9162404642821
ANT,LifeSatisfaction,9.4391235785807,10.9627148232564
ANT,Safety,8.92181437323058,9.18135035439197
ANT,WorkLifeBalance,8.90148916997855,8.60114083522896
ARE,Housing,10.9763219290438,8.50744814857997
ARE,Income,10.3171771505393,10.7831744925745
ARE,Jobs,9.3916019151649,9.40212898452316
ARE,Community,8.16579337196364,7.72896183699195
ARE,Education,10.0986564525249,8.76189558005441
ARE,Environment,6.62310184475481,8.80199388952091
ARE,CivicEngagement,5.73661254941895,6.20919177671718
ARE,Health,9.37191005985197,9.83824280981281
ARE,LifeSatisfaction,9.7793801946474,10.1980900524506
ARE,Safety,10.4335140172125,11.1403878846518
ARE,WorkLifeBalance,9.10593051487782,8.62848454412278
ARG,Housing,9.26069611549405,9.07741597683673
ARG,Income,8.70083649029815,8.60999298767479
ARG,Jobs,9.5391718282836,9.4566570165101
ARG,Community,7.84255022591098,7.68804603723582
ARG,Education,10.5742975979914,10.4100987208386
ARG,Environment,8.97231499474153,8.76402394430401
ARG,CivicEngagement,7.43931470022008,6.968275829071
ARG,Health,10.2929910554298,10.5472699420558
ARG,LifeSatisfaction,8.95375459534468,9.56654566599897
ARG,Safety,9.62398038025181,9.59786877097798
ARG,WorkLifeBalance,8.80009201603398,9.31380510849618
ARM,Housing,9.03932750779821,8.62339745696678
ARM,Income,7.98063195725053,8.15424683944447
ARM,Jobs,8.3377191663186,8.14335352924244
ARM,Community,8.52575239882816,8.85562273045394
ARM,Education,9.83730007907402,10.4466180564476
ARM,Environment,9.52310754221847,9.2383879762051
