age,population,country
15-24,28805,Total
25-34,32192,Total
35-44,18811,Total
45-54,11456,Total
55-64,6327,Total
<15,2092,Total
>65,2560,Total
15-24,14,ABW
25-34,7,ABW
35-44,5,ABW
45-54,5,ABW
55-64,1,ABW
<15,2,ABW
>65,4,ABW
15-24,60,AFG
25-34,31,AFG
35-44,14,AFG
45-54,8,AFG
55-64,8,AFG
<15,39,AFG
>65,35,AFG
15-24,7,AGO
25-34,10,AGO
35-44,10,AGO
45-54,13,AGO
55-64,4,AGO
<15,4,AGO
15-24,4,AIA
25-34,6,AIA
35-44,4,AIA
45-54,3,AIA
55-64,3,AIA
<15,2,AIA
>65,2,AIA
15-24,44,ALB
25-34,34,ALB
35-44,12,ALB
45-54,4,ALB
55-64,1,ALB
<15,16,ALB
>65,7,ALB
15-24,10,AND
25-34,21,AND
35-44,9,AND
45-54,3,AND
55-64,4,AND
>65,1,AND
15-24,4,ANT
25-34,3,ANT
35-44,3,ANT
45-54,1,ANT
55-64,2,ANT
>65,2,ANT
15-24,16,ARE
25-34,41,ARE
35-44,36,ARE
45-54,8,ARE
55-64,3,ARE
<15,1,ARE
>65,1,ARE
15-24,170,ARG
25-34,429,ARG
35-44,246,ARG
45-54,104,ARG
55-64,57,ARG
<15,6,ARG
>65,24,ARG
15-24,24,ARM
25-34,22,ARM
35-44,9,ARM
45-54,7,ARM
55-64,2,ARM
<15,1,ARM
>65,4,ARM
15-24,2,ATG
25-34,6,ATG
35-44,3,ATG
55-64,4,ATG
<15,2,ATG
>65,3,ATG
15-24,2783,AUS
25-34,950,AUS
35-44,689,AUS
45-54,444,AUS
55-64,257,AUS
<15,610,AUS
>65,75,AUS
15-24,502,AUT
25-34,577,AUT
35-44,362,AUT
45-54,247,AUT
55-64,127,AUT
<15,141,AUT
>65,44,AUT
15-24,27,AZE
25-34,28,AZE
35-44,11,AZE
45-54,5,AZE
55-64,1,AZE
<15,3,AZE
>65,3,AZE
15-24,1,BDI
25-34,1,BDI
35-44,2,BDI
55-64,1,BDI
<15,2,BDI
>65,1,BDI
15-24,398,BEL
25-34,435,BEL
35-44,312,BEL
45-54,232,BEL
55-64,111,BEL
<15,14,BEL
>65,56,BEL
15-24,3,BEN
25-34,3,BEN
35-44,4,BEN
55-64,2,BEN
>65,1,BEN
15-24,1,BFA
25-34,3,BFA
35-44,1,BFA
45-54,1,BFA
<15,1,BFA
15-24,21,BGD
25-34,39,BGD
35-44,6,BGD
45-54,4,BGD
55-64,4,BGD
<15,5,BGD
>65,3,BGD
15-24,50,BGR
25-34,65,BGR
35-44,30,BGR
45-54,15,BGR
55-64,2,BGR
<15,4,BGR
>65,2,BGR
15-24,33,BHR
25-34,20,BHR
35-44,6,BHR
45-54,7,BHR
55-64,4,BHR
<15,1,BHR
>65,1,BHR
15-24,12,BHS
25-34,7,BHS
35-44,4,BHS
45-54,2,BHS
55-64,2,BHS
<15,3,BHS
>65,4,BHS
15-24,19,BIH
25-34,18,BIH
35-44,7,BIH
45-54,3,BIH
>65,2,BIH
15-24,65,BLR
25-34,44,BLR
35-44,10,BLR
45-54,7,BLR
55-64,7,BLR
<15,3,BLR
>65,1,BLR
15-24,3,BLZ
25-34,5,BLZ
35-44,1,BLZ
45-54,2,BLZ
25-34,2,BMU
35-44,4,BMU
45-54,2,BMU
55-64,1,BMU
>65,1,BMU
15-24,12,BOL
25-34,17,BOL
35-44,12,BOL
45-54,5,BOL
55-64,3,BOL
<15,1,BOL
>65,1,BOL
15-24,328,BRA
25-34,681,BRA
