country,variable,15-24,25-34,35-44,45-54,55-64,<15,>65
ABW,Housing,8.01158831669334,9.44970736129273,7.444878650761,9.84051036682616,0,2,11.5698185432531
ABW,Income,9.29614393935792,7.57470736129273,8.54593445769916,8.17384370015949,10,20,10.3666099871033
ABW,Jobs,8.8693388479503,9.78910599337429,8.54593445769916,8.17384370015949,10,2,8.34401209164018
ABW,Community,5.86442087574921,10.8782787898642,9.70958453311395,8.17384370015949,10,12,9.64882287225741
ABW,Education,9.65698808940067,9.44067393762516,10.3106403400521,8.17384370015949,10,10,8.20873070635879
ABW,Environment,10.4434490152344,7.67270387697217,11.235225558755,12.384370015949,10,12,5.66544066306875
ABW,CivicEngagement,8.34101765928058,8.0211359327213,9.70958453311395,8.17384370015949,10,2,4.90786490549299
ABW,Health,11.0459757402101,9.78910599337429,9.63416975181681,8.17384370015949,10,20,12.0568315302661
ABW,LifeSatisfaction,11.0558572240193,7.32427182122304,9.72240504593446,12.384370015949,10,2,11.1639743874089
ABW,Safety,10.25034068542,10.1732064232064,8.03311394487865,8.17384370015949,10,16,8.34401209164018
ABW,WorkLifeBalance,7.16487960668413,9.88710250905373,7.10852872617579,8.17384370015949,10,2,9.7238822215103
AFG,Housing,8.83554813695813,10.0559195614159,9.90215933549507,7.33185386110918,8.54185007336268,12.5222980101594,9.42759400065457
AFG,Income,9.4253040030727,8.9761166101128,10.4055738796073,4.7791981834535,10.53164599173,11.7605352854406,8.94661868859669
AFG,Jobs,8.04076560027985,9.71705122278079,7.88885745827125,6.11848389773922,8.2640722955849,8.75004915589217,9.13408797146611
AFG,Community,7.16338574333794,9.10556792978445,7.95823609878526,6.54758745184277,7.7765439509137,7.40578239721703,8.85264180450795
AFG,Education,8.91553124485075,8.9223787870598,8.40320954056758,6.97143162568694,7.4781245831666,7.79344288103136,7.02586759410822
AFG,Environment,8.89626763582393,8.79352817104431,8.60322481642654,26.6142887685441,8.95851674002935,9.34324209576206,9.66860021921429
AFG,CivicEngagement,6.65419556339782,6.92795116387546,6.8373080527701,5.40289880715413,9.65132719754568,5.83465302317855,6.00105039371161
AFG,Health,11.5187184997752,10.2590899430504,7.83791869397756,10.0015771558325,11.1513271975457,8.39311724931615,10.3508285077512
AFG,LifeSatisfaction,8.63994648884738,9.09696463333286,12.0073090751182,13.7764509307062,9.95851674002935,9.45231905603656,13.6107922084446
AFG,Safety,8.17738683324451,8.52229173718435,10.1263771335894,6.49727117812224,11.9291049753235,8.44316685581737,8.34683178089431
AFG,WorkLifeBalance,13.7329502504117,9.62314024035885,10.0298259153917,5.9589581398092,5.75897025476857,10.3013939901488,8.63508683065046
AGO,Housing,9.07146598476789,11.1540214171793,8.44726442288362,11.5606829068368,6.36386639676113,7.98372018052869,NA
AGO,Income,19.7867927658868,13.6456482114377,9.12008618316668,10.0352339967725,5.58261639676113,7.98372018052869,NA
AGO,Jobs,6.92964990874398,8.87371838687628,8.70341951650001,11.3432464970927,6.24051113360324,8.45180528691167,NA
AGO,Community,8.26276852204296,7.87371838687628,11.4440592946785,7.60666256820103,11.6603106323501,9.51563507414571,NA
AGO,Education,9.0387862462058,9.47898154477102,11.1964167153796,7.29882937575245,10.3951284461153,9.51563507414571,NA
AGO,Environment,6.33682741389239,7.75467076782866,8.41280327000141,8.24205281897589,6.82369987468672,10.5573017408124,NA
AGO,CivicEngagement,7.30580036892806,8.65618591934381,8.20916918478838,7.48014805707113,8.74677679776364,8.99347195357834,NA
AGO,Health,9.77574769745297,8.838004101162,9.84137469857284,10.386241963165,7.18231877771351,9.51563507414571,NA
AGO,LifeSatisfaction,7.85527219017688,12.5728525860105,9.71532427840477,7.33545941238249,8.62146351455562,8.98372018052869,NA
AGO,Safety,8.76667740266838,5.84990886306676,7.14964537526457,8.58984605138451,15.6558764700212,8.98372018052869,NA
AGO,WorkLifeBalance,6.87021149923384,5.30228981544771,7.76043706035966,10.1215963523656,12.7274315596684,9.51563507414571,NA
AIA,Housing,7.30101137077881,10.8706116921598,12.9480439518803,5.55555555555556,1.44927536231884,15.7051282051282,10.6900452488688
AIA,Income,7.30101137077881,7.8656156558049,11.1855167187648,12.2222222222222,1.44927536231884,8.01282051282051,16.5723981900452
AIA,Jobs,32.3010113707788,8.88940367146284,8.26124846073695,7.77777777777778,1.44927536231884,8.01282051282051,7.74886877828054
AIA,Community,5.36826467059025,11.0663358716238,8.76124846073695,3.33333333333333,3.53260869565217,8.01282051282051,7.74886877828054
AIA,Education,7.88240671961602,9.84992338070155,8.74434024817657,7.77777777777778,3.53260869565217,8.01282051282051,7.74886877828054
AIA,Environment,5.36826467059025,8.36117973509515,11.8658236241356,3.33333333333333,9.32971014492754,8.01282051282051,13.631221719457
AIA,CivicEngagement,5.36826467059025,9.50978732627978,11.5221180259543,5.55555555555556,3.53260869565217,8.01282051282051,7.74886877828054
AIA,Health,8.5580823952917,8.85137581352653,5.98347068295917,2.22222222222222,45.1992753623188,8.01282051282051,7.74886877828054
AIA,LifeSatisfaction,7.97668704645449,9.83176797038927,8.76124846073695,41.1111111111111,9.32971014492754,12.1794871794872,4.86425339366516
AIA,Safety,6.62533569510314,6.70051546938887,5.98347068295917,7.77777777777778,11.8659420289855,8.01282051282051,7.74886877828054
AIA,WorkLifeBalance,5.94966001942746,8.20348341356745,5.98347068295917,3.33333333333333,9.32971014492754,8.01282051282051,7.74886877828054
ALB,Housing,8.77220609611358,8.12949789987443,9.52556946377267,12.3180873180873,10,10.8100612727418,12.9718360117031
