highest,monthYear,age,count
Community,2011-05-01,15-24,163
Community,2011-05-01,25-34,422
Community,2011-05-01,35-44,279
Community,2011-05-01,45-54,158
Community,2011-05-01,55-64,74
Community,2011-05-01,>65,20
Community,2011-06-01,15-24,47
Community,2011-06-01,25-34,128
Community,2011-06-01,35-44,68
Community,2011-06-01,45-54,50
Community,2011-06-01,55-64,29
Community,2011-06-01,>65,15
Community,2011-06-01,NA,1
Community,2011-07-01,15-24,4
Community,2011-07-01,25-34,17
Community,2011-07-01,35-44,14
Community,2011-07-01,45-54,14
Community,2011-07-01,55-64,5
Community,2011-07-01,>65,2
Community,2011-08-01,15-24,13
Community,2011-08-01,25-34,14
Community,2011-08-01,35-44,8
Community,2011-08-01,45-54,9
Community,2011-08-01,55-64,2
Community,2011-09-01,15-24,9
Community,2011-09-01,25-34,21
Community,2011-09-01,35-44,14
Community,2011-09-01,45-54,6
Community,2011-09-01,55-64,2
Community,2011-10-01,15-24,21
Community,2011-10-01,25-34,51
Community,2011-10-01,35-44,29
Community,2011-10-01,45-54,25
Community,2011-10-01,55-64,6
Community,2011-10-01,>65,4
Community,2011-10-01,NA,1
Community,2011-11-01,15-24,51
Community,2011-11-01,25-34,35
Community,2011-11-01,35-44,22
Community,2011-11-01,45-54,12
Community,2011-11-01,55-64,8
Community,2011-11-01,>65,5
Community,2011-12-01,15-24,18
Community,2011-12-01,25-34,21
Community,2011-12-01,35-44,20
Community,2011-12-01,45-54,7
Community,2011-12-01,55-64,6
Community,2011-12-01,>65,1
Community,2012-01-01,15-24,26
Community,2012-01-01,25-34,62
Community,2012-01-01,35-44,24
Community,2012-01-01,45-54,13
Community,2012-01-01,55-64,14
Community,2012-01-01,>65,3
Community,2012-02-01,15-24,15
Community,2012-02-01,25-34,28
Community,2012-02-01,35-44,17
Community,2012-02-01,45-54,9
Community,2012-02-01,55-64,7
Community,2012-03-01,15-24,30
Community,2012-03-01,25-34,24
Community,2012-03-01,35-44,11
Community,2012-03-01,45-54,6
Community,2012-03-01,55-64,1
Community,2012-03-01,>65,1
Community,2012-04-01,15-24,18
Community,2012-04-01,25-34,21
Community,2012-04-01,35-44,17
Community,2012-04-01,45-54,6
Community,2012-04-01,55-64,4
Community,2012-04-01,>65,1
Community,2012-05-01,15-24,283
Community,2012-05-01,25-34,521
Community,2012-05-01,35-44,268
Community,2012-05-01,45-54,152
Community,2012-05-01,55-64,101
Community,2012-05-01,<15,8
Community,2012-05-01,>65,35
Community,2012-05-01,NA,7
Community,2012-06-01,15-24,127
Community,2012-06-01,25-34,207
Community,2012-06-01,35-44,101
Community,2012-06-01,45-54,58
Community,2012-06-01,55-64,37
Community,2012-06-01,<15,15
Community,2012-06-01,>65,14
Community,2012-06-01,NA,5
Community,2012-07-01,15-24,80
Community,2012-07-01,25-34,108
Community,2012-07-01,35-44,48
Community,2012-07-01,45-54,23
Community,2012-07-01,55-64,11
Community,2012-07-01,<15,2
Community,2012-07-01,>65,6
Community,2012-07-01,NA,1
Community,2012-08-01,15-24,116
Community,2012-08-01,25-34,77
Community,2012-08-01,35-44,48
Community,2012-08-01,45-54,29
Community,2012-08-01,55-64,11
Community,2012-08-01,<15,3
Community,2012-08-01,>65,7
Community,2012-08-01,NA,1
Community,2012-09-01,15-24,147
Community,2012-09-01,25-34,78
Community,2012-09-01,35-44,40
Community,2012-09-01,45-54,21
Community,2012-09-01,55-64,4
Community,2012-09-01,<15,9
Community,2012-09-01,>65,7
Community,2012-09-01,NA,2
Community,2012-10-01,15-24,182
Community,2012-10-01,25-34,87
Community,2012-10-01,35-44,45
Community,2012-10-01,45-54,32
Community,2012-10-01,55-64,18
Community,2012-10-01,<15,5
Community,2012-10-01,>65,7
Community,2012-11-01,15-24,154
Community,2012-11-01,25-34,79
Community,2012-11-01,35-44,51
Community,2012-11-01,45-54,36
Community,2012-11-01,55-64,11
Community,2012-11-01,<15,6
Community,2012-11-01,>65,10
Community,2012-11-01,NA,1
Community,2012-12-01,15-24,88
Community,2012-12-01,25-34,72
Community,2012-12-01,35-44,30
Community,2012-12-01,45-54,32
Community,2012-12-01,55-64,11
Community,2012-12-01,<15,8
Community,2012-12-01,>65,4
Community,2012-12-01,NA,1
Community,2013-01-01,15-24,67
Community,2013-01-01,25-34,77
Community,2013-01-01,35-44,43
Community,2013-01-01,45-54,32
Community,2013-01-01,55-64,14
Community,2013-01-01,<15,6
Community,2013-01-01,>65,3
Community,2013-01-01,NA,3
Community,2013-02-01,15-24,80
Community,2013-02-01,25-34,83
Community,2013-02-01,35-44,47
Community,2013-02-01,45-54,27
Community,2013-02-01,55-64,16
Community,2013-02-01,<15,8
Community,2013-02-01,>65,3
Community,2013-02-01,NA,4
Community,2013-03-01,15-24,148
Community,2013-03-01,25-34,106
Community,2013-03-01,35-44,48
Community,2013-03-01,45-54,36
Community,2013-03-01,55-64,16
Community,2013-03-01,<15,4
Community,2013-03-01,>65,5
Community,2013-03-01,NA,4
Community,2013-04-01,15-24,91
Community,2013-04-01,25-34,91
Community,2013-04-01,35-44,41
Community,2013-04-01,45-54,20
Community,2013-04-01,55-64,13
Community,2013-04-01,<15,5
Community,2013-04-01,>65,4
Community,2013-05-01,15-24,669
Community,2013-05-01,25-34,1277
Community,2013-05-01,35-44,711
Community,2013-05-01,45-54,396
