gender,population,country
f,41941,Total
m,60302,Total
f,22,ABW
m,16,ABW
f,88,AFG
m,107,AFG
f,20,AGO
m,28,AGO
f,8,AIA
m,16,AIA
f,41,ALB
m,77,ALB
f,17,AND
m,31,AND
f,6,ANT
m,9,ANT
f,29,ARE
m,77,ARE
f,298,ARG
m,738,ARG
f,29,ARM
m,40,ARM
f,11,ATG
m,9,ATG
f,2818,AUS
m,2990,AUS
f,727,AUT
m,1273,AUT
f,23,AZE
m,55,AZE
f,2,BDI
m,6,BDI
f,584,BEL
m,974,BEL
f,5,BEN
m,8,BEN
f,2,BFA
m,5,BFA
f,22,BGD
m,60,BGD
f,85,BGR
m,83,BGR
f,32,BHR
m,40,BHR
f,18,BHS
m,16,BHS
f,27,BIH
m,22,BIH
f,54,BLR
m,83,BLR
f,5,BLZ
m,6,BLZ
f,6,BMU
m,4,BMU
f,17,BOL
m,34,BOL
f,573,BRA
m,1164,BRA
f,22,BRB
m,13,BRB
f,5,BRN
m,11,BRN
f,1,BTN
m,10,BTN
f,7,BWA
m,7,BWA
f,2,CAF
m,1,CAF
f,2278,CAN
m,3014,CAN
f,515,CHE
m,1080,CHE
f,257,CHL
m,526,CHL
f,318,CHN
m,295,CHN
f,7,CIV
m,14,CIV
f,10,CMR
m,14,CMR
f,4,COD
m,10,COD
f,7,COG
m,1,COG
m,5,COK
f,217,COL
m,391,COL
f,2,COM
m,1,COM
f,2,CPV
m,7,CPV
f,91,CRI
m,115,CRI
f,9,CUB
m,16,CUB
f,1,CYM
m,6,CYM
f,13,CYP
m,55,CYP
f,222,CZE
m,357,CZE
f,3203,DEU
m,5552,DEU
f,1,DJI
m,2,DJI
f,1,DMA
f,251,DNK
m,428,DNK
f,34,DOM
m,56,DOM
f,49,DZA
m,100,DZA
f,39,ECU
m,88,ECU
f,34,EGY
m,95,EGY
f,1,ERI
m,3,ERI
f,986,ESP
m,2056,ESP
f,81,EST
m,100,EST
f,9,ETH
m,14,ETH
f,31,EU
m,34,EU
f,249,FIN
m,326,FIN
f,5,FJI
m,8,FJI
f,5595,FRA
m,5716,FRA
f,3,FRO
m,2,FRO
f,3,FSM
m,2,FSM
f,1,For
m,1,For
f,5,GAB
m,4,GAB
f,1576,GBR
m,2761,GBR
f,15,GEO
m,24,GEO
f,3,GGY
m,6,GGY
f,9,GHA
m,11,GHA
m,3,GIB
f,2,GIN
m,3,GIN
f,1,GMB
m,2,GMB
m,1,GNB
f,201,GRC
m,352,GRC
f,2,GRD
m,1,GRD
f,1,GRL
m,1,GRL
f,23,GTM
m,45,GTM
f,5,GUF
m,4,GUF
m,1,GUM
f,4,GUY
m,2,GUY
f,137,HKG
m,138,HKG
f,17,HND
m,18,HND
f,115,HRV
m,96,HRV
f,6,HTI
m,11,HTI
f,350,HUN
m,458,HUN
f,3,Hon
m,11,Hon
f,49,IDN
m,93,IDN
f,1,IMN
m,6,IMN
f,170,IND
m,775,IND
f,199,IRL
m,357,IRL
f,47,IRN
m,222,IRN
f,4,IRQ
m,16,IRQ
f,65,ISL
m,69,ISL
f,193,ISR
m,504,ISR
f,1514,ITA
m,2293,ITA
f,5,JAM
m,6,JAM
f,5,JEY
m,4,JEY
f,10,JOR
m,28,JOR
f,394,JPN
m,435,JPN
f,35,KAZ
m,47,KAZ
f,11,KEN
m,17,KEN
f,4,KGZ
m,11,KGZ
f,2,KHM
m,10,KHM
f,1,KIR
m,2,KIR
f,1,KNA
m,1,KNA
f,293,KOR
m,385,KOR
f,3,KWT
m,17,KWT
f,2,LAO
m,3,LAO
f,32,LBN
m,35,LBN
f,1,LBY
m,5,LBY
f,2,LCA
f,1,LIE
m,5,LIE
f,10,LKA
m,40,LKA
m,1,LSO
f,75,LTU
m,73,LTU
f,83,LUX
m,144,LUX
f,56,LVA
m,35,LVA
f,8,MAC
m,8,MAC
f,48,MAR
m,101,MAR
f,13,MCO
m,12,MCO
f,18,MDA
m,39,MDA
f,4,MDG
m,9,MDG
f,2,MDV
m,1,MDV
f,2211,MEX
m,3293,MEX
m,2,MHL
f,15,MKD
m,34,MKD
m,6,MLI
f,15,MLT
m,29,MLT
f,3,MMR
m,9,MMR
f,2,MNE
m,6,MNE
f,9,MNG
m,4,MNG
f,2,MOZ
m,4,MOZ
f,2,MRT
m,2,MRT
f,2,MSR
m,1,MSR
f,8,MUS
m,15,MUS
f,3,MWI
m,3,MWI
f,97,MYS
m,109,MYS
f,2,MYT
m,1,MYT
f,4,NAM
m,5,NAM
m,4,NER
f,16,NGA
m,24,NGA
f,6,NIC
m,12,NIC
f,2,NIU
f,329,NLD
m,681,NLD
f,628,NOR
m,953,NOR
f,3,NPL
m,17,NPL
m,1,NRU
f,269,NZL
m,423,NZL
f,3,OMN
m,8,OMN
f,22,PAK
m,110,PAK
f,23,PAN
m,29,PAN
f,76,PER
m,135,PER
f,96,PHL
m,98,PHL
f,1,PLW
f,3,PNG
m,4,PNG
f,483,POL
m,658,POL
f,36,PRI
m,39,PRI
f,2,PRK
m,4,PRK
f,483,PRT
m,848,PRT
f,9,PRY
m,18,PRY
f,5,PSE
m,8,PSE
m,8,QAT
f,169,ROU
m,179,ROU
f,865,RUS
m,1079,RUS
f,2,RWA
m,3,RWA
f,17,SAU
m,67,SAU
f,1,SDN
m,5,SDN
f,4,SEN
m,8,SEN
f,185,SGP
m,232,SGP
f,1,SHN
m,1,SHN
f,2,SLE
m,2,SLE
f,18,SLV
m,38,SLV
f,1,SM2
m,3,SM2
f,1,SMR
m,3,SMR
f,1,SOM
m,4,SOM
f,48,SRB
m,90,SRB
f,1,SUR
m,3,SUR
f,108,SVK
m,145,SVK
f,66,SVN
m,113,SVN
f,314,SWE
m,720,SWE
f,1,SWZ
m,3,SWZ
m,1,SYC
f,5,SYR
m,41,SYR
f,3,TCD
m,1,TCD
f,2,TGO
m,7,TGO
f,80,THA
m,135,THA
f,2,TJK
m,2,TJK
f,3,TKM
m,1,TKM
f,2,TON
f,13,TTO
m,18,TTO
f,27,TUN
m,54,TUN
f,412,TUR
m,1257,TUR
f,2,TUV
f,120,TWN
m,106,TWN
f,7,TZA
m,7,TZA
f,10,UGA
m,10,UGA
f,173,UKR
m,256,UKR
f,21,URY
m,61,URY
f,8092,USA
m,9292,USA
f,7,UZB
m,7,UZB
f,1,VCT
m,2,VCT
f,142,VEN
m,218,VEN
f,2,VGB
m,5,VGB
f,9,VIR
m,8,VIR
f,45,VNM
m,47,VNM
m,1,VUT
m,4,WLF
f,1,YEM
m,1,YEM
f,105,ZAF
m,183,ZAF
f,2,ZMB
m,3,ZMB
f,7,ZWE
m,6,ZWE
