country,variable,value
Total,Housing,0.0893185517220539
ABW,Housing,0.0828990545325537
AFG,Housing,0.0987600856006777
AGO,Housing,0.0973317384150087
AIA,Housing,0.0916769712938385
ALB,Housing,0.0931968654328932
AND,Housing,0.0827887740638561
ANT,Housing,0.0771688449928786
ARE,Housing,0.0915674113144594
ARG,Housing,0.09151921582671
ARM,Housing,0.0887699008691886
ATG,Housing,0.0874658230394638
AUS,Housing,0.0906960024833748
AUT,Housing,0.0903891573996883
AZE,Housing,0.093228474147942
BDI,Housing,0.0766469442231584
BEL,Housing,0.0924239672524277
BEN,Housing,0.0987750504156106
BFA,Housing,0.212083015024191
BGD,Housing,0.0836538063148324
BGR,Housing,0.0834640303652788
BHR,Housing,0.0993193296259647
BHS,Housing,0.104025691881141
BIH,Housing,0.0949499308314859
BLR,Housing,0.0935576697769247
BLZ,Housing,0.0787978343788208
BMU,Housing,0.0779167393442579
BOL,Housing,0.0862225445651975
BRA,Housing,0.0896666486175141
BRB,Housing,0.101850398692532
BRN,Housing,0.0572797347800158
BTN,Housing,0.0847562464529549
BWA,Housing,0.100476473079857
CAF,Housing,0.0837218337218337
CAN,Housing,0.0894806854960981
CHE,Housing,0.0880818835806309
CHL,Housing,0.0859035492740508
CHN,Housing,0.0870829143003966
CIV,Housing,0.0920697068429873
CMR,Housing,0.085359040658257
COD,Housing,0.119294019196663
COG,Housing,0.0810301639869215
COK,Housing,0.0939407651172357
COL,Housing,0.0856844362011804
COM,Housing,0.0987179487179487
CPV,Housing,0.0772034093462665
CRI,Housing,0.0890541936577113
CUB,Housing,0.104083049768597
CYM,Housing,0.0893499883454973
CYP,Housing,0.0842787847204805
CZE,Housing,0.0830084567731571
DEU,Housing,0.0893332980150335
DJI,Housing,0.0683941123743926
DMA,Housing,0.125
DNK,Housing,0.0829159089884628
DOM,Housing,0.0867991526267682
DZA,Housing,0.114082160103772
ECU,Housing,0.0914066651258366
EGY,Housing,0.0914127045657527
ERI,Housing,0.0598151848151848
ESP,Housing,0.085456341606556
EST,Housing,0.0964053601284866
ETH,Housing,0.107875494901465
EU,Housing,0.0868432163210855
FIN,Housing,0.0870103979628544
FJI,Housing,0.0802092744217713
FRA,Housing,0.0938551622703363
FRO,Housing,0.10191212126696
FSM,Housing,0.0914868328031106
For,Housing,0.182795698924731
GAB,Housing,0.0857468965312103
GBR,Housing,0.0908047700775483
GEO,Housing,0.0887207708285992
GGY,Housing,0.0851476702903044
GHA,Housing,0.0921571813252525
GIB,Housing,0.0915466020655362
GIN,Housing,0.0922070604626386
GMB,Housing,0.0683375104427736
GNB,Housing,0.0961538461538462
GRC,Housing,0.0855232502848363
GRD,Housing,0.0897019126576516
GRL,Housing,0.111244019138756
GTM,Housing,0.0869070056228404
GUF,Housing,0.0828535060242377
GUM,Housing,0.09375
GUY,Housing,0.151247228581986
HKG,Housing,0.093639358714618
HND,Housing,0.0852621185373456
HRV,Housing,0.0809646614660302
