country,variable,value
Total,Housing,0.0893549946293752
ABW,Housing,0.0828990545325537
AFG,Housing,0.0981031021620691
AGO,Housing,0.0989368288483062
AIA,Housing,0.0920915250951462
ALB,Housing,0.0911996229603081
AND,Housing,0.0879403809960387
ANT,Housing,0.0777029350379665
ARE,Housing,0.0917428169375993
ARG,Housing,0.0912630844964846
ARM,Housing,0.087352763899959
ATG,Housing,0.0890707323729726
AUS,Housing,0.0909284935533062
AUT,Housing,0.0904784930466657
AZE,Housing,0.0910188867304399
BDI,Housing,0.0872877052098573
BEL,Housing,0.0923822595477396
BEN,Housing,0.0987750504156106
BFA,Housing,0.212083015024191
BGD,Housing,0.0849256056989316
BGR,Housing,0.0842590004282609
BHR,Housing,0.0993193296259647
BHS,Housing,0.100252652544371
BIH,Housing,0.0945143468490026
BLR,Housing,0.0923578304286568
BLZ,Housing,0.0798071057563433
BMU,Housing,0.0736743084947799
BOL,Housing,0.0860318383992968
BRA,Housing,0.0899642572602629
BRB,Housing,0.100873072802924
BRN,Housing,0.0572797347800158
BTN,Housing,0.0955503687723515
BWA,Housing,0.0999508810473723
CAF,Housing,0.0837218337218337
CAN,Housing,0.0894920978751187
CHE,Housing,0.0884227589604804
CHL,Housing,0.0874227625381524
CHN,Housing,0.0871186774881511
CIV,Housing,0.0920169515732647
CMR,Housing,0.085359040658257
COD,Housing,0.119294019196663
COG,Housing,0.0821278225338292
COK,Housing,0.0939407651172357
COL,Housing,0.0863394728309061
COM,Housing,0.109752747252747
CPV,Housing,0.0772034093462665
CRI,Housing,0.0887962391796264
CUB,Housing,0.104083049768597
CYM,Housing,0.0865145731356435
CYP,Housing,0.0846676590159969
CZE,Housing,0.0829732274980944
DEU,Housing,0.0891167743170144
DJI,Housing,0.0683941123743926
DMA,Housing,0.125
DNK,Housing,0.0826476648105486
DOM,Housing,0.0874535543699397
DZA,Housing,0.113838789295473
ECU,Housing,0.0913432371080837
EGY,Housing,0.0911453095911545
ERI,Housing,0.0611854811854812
ESP,Housing,0.0856872183152608
EST,Housing,0.0967867967174744
ETH,Housing,0.108010312243534
EU,Housing,0.0874447715818989
FIN,Housing,0.0871342147288901
FJI,Housing,0.0809735470280084
FRA,Housing,0.0936803351701572
FRO,Housing,0.10191212126696
FSM,Housing,0.0914868328031106
For,Housing,0.182795698924731
GAB,Housing,0.0857468965312103
GBR,Housing,0.0907846376336468
GEO,Housing,0.0910106601107864
GGY,Housing,0.0851476702903044
GHA,Housing,0.0954492356707474
GIB,Housing,0.0915466020655362
GIN,Housing,0.0922070604626386
GMB,Housing,0.0683375104427736
GNB,Housing,0.0961538461538462
GRC,Housing,0.0855595107023443
GRD,Housing,0.0897019126576516
GRL,Housing,0.111244019138756
GTM,Housing,0.0860315346984542
GUF,Housing,0.0828535060242377
GUM,Housing,0.09375
GUY,Housing,0.151247228581986
HKG,Housing,0.0943729367600271
HND,Housing,0.0852621185373456
HRV,Housing,0.0811876810129544
HTI,Housing,0.0955982407119877
HUN,Housing,0.0933241763372989
Hon,Housing,0.10010829279122
IDN,Housing,0.105763079099361
IMN,Housing,0.0917207792207792
IND,Housing,0.088345055162115
IRL,Housing,0.0863139891792266
IRN,Housing,0.0850158632578961
IRQ,Housing,0.103098025956582
ISL,Housing,0.0942797038042401
ISR,Housing,0.0933531187844335
ITA,Housing,0.0860237655531766
JAM,Housing,0.0889623009149082
JEY,Housing,0.0762218095009181
JOR,Housing,0.100962702597928
JPN,Housing,0.0891612491037002
KAZ,Housing,0.0973109415295389
KEN,Housing,0.0912328519156115
KGZ,Housing,0.0712073318824547
KHM,Housing,0.0849845608489226
KIR,Housing,0.0812636165577342
KNA,Housing,0.11025641025641
KOR,Housing,0.0919071559435725
KWT,Housing,0.0919080033641878
LAO,Housing,0.0737958401751505
LBN,Housing,0.091964088162301
LBR,Housing,0.0787878787878788
LBY,Housing,0.104517301392301
LCA,Housing,0.10179193628671
LIE,Housing,0.0668939673296509
LKA,Housing,0.109760488120088
LSO,Housing,0.0344827586206897
LTU,Housing,0.0798319677095012
LUX,Housing,0.0898185639113337
LVA,Housing,0.0865635164877191
MAC,Housing,0.0874371988803822
MAR,Housing,0.0876601665762468
MCO,Housing,0.105373650729533
MDA,Housing,0.100117721525794
MDG,Housing,0.0966809209016345
MDV,Housing,0.0957590958888312
MEX,Housing,0.0896154621657944
MHL,Housing,0.0875959079283888
MKD,Housing,0.0758847459920667
MLI,Housing,0.0975504989736489
MLT,Housing,0.0908382420646965
MMR,Housing,0.080883987494268
MNE,Housing,0.0949558558933559
MNG,Housing,0.111972835507251
MOZ,Housing,0.132441354364213
MRT,Housing,0.0848484848484849
MSR,Housing,0.0733264320220842
MUS,Housing,0.0823263174131065
MWI,Housing,0.0973401326499694
MYS,Housing,0.0852955464911441
MYT,Housing,0.0840191511387164
NAM,Housing,0.0869736949261088
NER,Housing,0.0777173524150268
NGA,Housing,0.091377555212698
NIC,Housing,0.0777852688421397
NIU,Housing,0.0811688311688312
NLD,Housing,0.0919148187392278
NOR,Housing,0.0927705730705721
NPL,Housing,0.0733740115560133
NRU,Housing,0.210526315789474
NZL,Housing,0.0867639547188559
OMN,Housing,0.0990807077096626
PAK,Housing,0.0913223145233643
PAN,Housing,0.0921888757398602
PER,Housing,0.0870841829492922
PHL,Housing,0.0835967046103467
PLW,Housing,0.5
PNG,Housing,0.0998184528800434
POL,Housing,0.0904836131901998
PRI,Housing,0.0881217342132578
PRK,Housing,0.0656813982846524
PRT,Housing,0.0876365644589628
PRY,Housing,0.0898725559247457
PSE,Housing,0.0880284244906858
QAT,Housing,0.0910277508000468
ROU,Housing,0.0843647566839305
RUS,Housing,0.0960968456041701
RWA,Housing,0.0601514853433012
SAU,Housing,0.0862277906869218
SDN,Housing,0.0880286302712402
SEN,Housing,0.080033218044962
SGP,Housing,0.0908109514521979
SHN,Housing,0.101010101010101
SLE,Housing,0.0841002947979692
SLV,Housing,0.0899729399296266
SM2,Housing,0.131045482043667
SMR,Housing,0.0592570441254652
SOM,Housing,0.121744921744922
SRB,Housing,0.0877340091193775
SUR,Housing,0.0859499897519984
SVK,Housing,0.0852387495618357
SVN,Housing,0.0892093254390479
SWE,Housing,0.0883191149993152
SWZ,Housing,0.082465316933402
SYC,Housing,0.143962848297214
SYR,Housing,0.0956844305988278
TCD,Housing,0.102724656296085
TGO,Housing,0.0971497239863057
THA,Housing,0.0868626468537621
TJK,Housing,0.0523663663663664
TKM,Housing,0.164072039072039
TON,Housing,0.0944741532976827
TTO,Housing,0.0746130657971065
TUN,Housing,0.0893724312289442
TUR,Housing,0.089068619923313
TUV,Housing,0.135729386892178
TWN,Housing,0.0867742579667867
TZA,Housing,0.0996984545254169
UGA,Housing,0.104202331418956
UKR,Housing,0.0895970166235962
URY,Housing,0.0886820545853397
USA,Housing,0.0857104662503757
UZB,Housing,0.0851526613262815
VCT,Housing,0.0874458874458875
VEN,Housing,0.0899335355948657
VGB,Housing,0.104521697814381
VIR,Housing,0.0782282455434116
VNM,Housing,0.0982371065452967
VUT,Housing,0.0875
WLF,Housing,0.074279143475572
YEM,Housing,0.177033492822966
ZAF,Housing,0.0928680587156269
ZMB,Housing,0.126995237956592
ZWE,Housing,0.0746308517688863
Total,Income,0.0880609428393369
ABW,Income,0.0942721835309912
AFG,Income,0.0967865636065353
AGO,Income,0.112257154981758
AIA,Income,0.0886115272340047
ALB,Income,0.135549869683404
AND,Income,0.0864641928262164
ANT,Income,0.0983092190432056
ARE,Income,0.106060750887989
ARG,Income,0.0860970893133433
ARM,Income,0.0804747901668606
ATG,Income,0.0893567306666662
AUS,Income,0.0878449370346443
AUT,Income,0.0837225540969359
AZE,Income,0.087866214810621
BDI,Income,0.109151504493011
BEL,Income,0.0871799018356121
BEN,Income,0.0988057342174014
BFA,Income,0.0692258721670486
BGD,Income,0.103133727272895
BGR,Income,0.099573244603328
BHR,Income,0.0929576255779706
BHS,Income,0.0902020702017765
BIH,Income,0.0909816464061663
BLR,Income,0.0898322659971035
BLZ,Income,0.105722602840615
BMU,Income,0.0778663992376967
BOL,Income,0.0839222096460152
BRA,Income,0.0859037578811955
BRB,Income,0.077747597501941
BRN,Income,0.0887602837658303
BTN,Income,0.0735382473529025
BWA,Income,0.106987918084409
CAF,Income,0.0922688422688423
CAN,Income,0.0880563672703144
CHE,Income,0.0906832269553956
CHL,Income,0.0871282384702131
CHN,Income,0.0984497508143733
CIV,Income,0.0975021119699586
CMR,Income,0.0934533262163217
COD,Income,0.119772037454964
COG,Income,0.0966780870840938
COK,Income,0.083388180447004
COL,Income,0.0903450750298406
COM,Income,0.104945054945055
CPV,Income,0.0953579275007846
CRI,Income,0.0871678265297729
CUB,Income,0.0836131905082048
CYM,Income,0.117636834789111
CYP,Income,0.115174024140565
CZE,Income,0.0916059792769668
DEU,Income,0.0844831717357118
DJI,Income,0.060818354798635
DMA,Income,0.05
DNK,Income,0.0809885659970016
DOM,Income,0.08649894639571
DZA,Income,0.0909322443777365
ECU,Income,0.0846753833518493
EGY,Income,0.0990163796653804
ERI,Income,0.0611854811854812
ESP,Income,0.084352524769163
